bp_rp,phot_g_mean_mag
1.7676907,19.118237
,20.271315
2.6863499,19.998552
0.44849777,19.997084
2.1413212,19.928413
1.45257,20.668112
3.0696115,15.808477
,20.38566
1.5369549,20.561594
2.1376514,20.791426
,16.148193
1.5729656,20.372536
1.2271957,19.757824
2.4285374,14.605962
,20.761206
,20.126446
1.563797,20.569227
1.9055405,20.147806
,19.889507
1.7584152,20.244844
1.3528862,20.966225
1.9180927,18.583965
1.3158226,9.170783
,18.233944
,19.84205
1.7016182,19.63051
2.3004131,20.426828
1.3395996,20.479408
,20.69695
2.8504438,13.576039
2.4997425,20.552698
1.3045692,20.975275
2.852521,15.458597
2.6100187,14.694485
2.3328876,20.114838
1.4830151,20.647356
1.8990631,20.639473
2.8576183,15.331945
3.3441725,17.232246
2.8453922,19.72609
1.8151112,20.834288
1.5753613,19.969822
0.8625908,20.682375
1.1045876,19.906153
2.921565,16.140469
2.8850918,13.886869
1.4689064,18.683613
0.9299412,20.136368
3.0077152,14.128227
1.6597977,19.392736
1.626131,11.659028
0.35411072,17.568832
1.578188,20.39407
2.3639164,20.709452
2.8319445,16.413578
2.3816376,20.589462
1.1518726,19.429623
2.8100147,15.944351
2.3217945,20.770535
1.0896358,19.763325
3.2826395,16.52315
2.494873,20.61684
1.8796062,18.93553
3.7954044,19.044584
2.860672,15.998241
2.3401232,14.341954
2.6541395,14.179611
2.6774597,15.14242
3.1210556,15.96969
1.1594963,20.593884
1.4581642,20.420094
0.9476347,9.967525
2.2604885,20.886917
1.646761,20.677095
1.9345875,20.505688
3.0377312,15.869639
1.6626759,12.314423
1.5631981,19.712423
,20.495014
,19.79954
0.88726044,9.893076
2.59552,15.0323925
3.1941109,17.651749
2.378151,14.735117
3.0831985,15.77777
1.4865398,20.3566
2.224907,12.6854
0.5947075,19.14979
1.3822556,19.679052
2.2772846,20.67942
1.2227535,17.93335
1.1350842,19.728876
3.5467873,19.032194
3.4624443,16.248325
2.6034832,15.36834
2.8356266,14.718996
,19.887135
1.5948677,20.291767
1.5523224,18.65156
1.1624603,19.084154
1.1460586,4.934616
1.486826,11.553235
1.9512959,19.36173
1.9367914,12.723465
1.3965111,19.24879
1.9810562,20.886036
1.6592331,19.855736
1.3632565,19.313885
,20.181952
1.5329571,20.243105
1.3312874,20.087702
,20.341188
1.5680256,19.270731
1.1853561,20.201344
1.2491188,20.131369
1.8598824,20.095839
0.6328869,7.6055527
1.7033672,19.80088
2.1724262,20.077572
0.9017143,20.501627
0.63702965,6.404021
2.3582973,12.966151
,20.324127
1.221776,10.580686
2.7263231,13.041415
-0.28012562,15.756145
0.27307796,15.970563
,19.640892
,19.788544
2.0310268,20.842432
4.3635826,18.22307
0.8284931,20.711514
3.1857262,19.414988
1.9230766,20.107126
3.5963259,16.255548
1.9458103,19.999016
2.5592594,20.374823
0.95443916,20.660564
1.6857567,20.79608
,20.40171
1.1522179,20.678547
1.1798649,20.171698
1.1506996,20.495247
1.5802135,19.320728
1.0785484,18.518438
2.6362362,20.208475
1.8890266,18.90515
1.4962673,20.98274
2.752101,14.339956
1.728838,20.812025
,20.172985
2.5639858,20.185034
2.7542725,14.848393
0.9976311,19.665688
2.083807,13.223835
1.623785,20.589163
1.6044846,19.836143
1.4603081,18.39467
1.5035076,19.360607
0.6720729,7.9096804
2.9090796,16.138294
1.1276779,20.29135
1.4573975,18.640604
,19.735857
,19.496983
2.0331764,20.619097
4.421527,13.432293
1.6558723,20.232998
2.5771275,20.420609
,20.128044
0.94359016,20.179214
1.26262,10.321658
2.9196177,15.980591
1.0042019,20.317228
1.684145,20.792942
1.7192135,20.31134
1.8299885,20.108057
1.6532965,12.479251
3.051176,15.800096
2.2489777,19.592283
,20.896507
2.8505878,15.432452
2.8247156,15.705865
1.2818737,19.333048
0.9326582,9.648277
1.9579153,12.258055
1.7179279,20.966324
1.4847832,19.43644
0.98719215,19.703781
1.7845058,19.464539
2.4758835,19.006907
2.6237488,14.448144
1.9889889,20.715027
4.8361692,16.988129
3.6981277,18.374584
0.28351474,3.502259
1.5405827,20.534935
3.3836098,19.255068
0.8885155,17.323555
1.8246899,20.248772
2.559986,20.070417
1.7862949,12.737515
1.5778885,19.173637
1.1256294,18.597427
2.175417,13.478258
0.6918106,19.17261
0.9837079,8.263643
2.494463,13.851659
2.6220083,15.712349
3.315524,16.747438
0.90361595,8.5663185
2.9307013,12.674998
,20.604637
3.3767319,17.625336
3.22223,15.733451
0.9621687,9.9313345
2.7149038,17.23251
3.6159153,17.817898
2.4923773,14.102956
3.3079052,17.379436
,19.694971
1.050642,18.997099
1.5409298,19.543505
3.1820574,13.555569
,16.676882
1.1223555,10.423263
1.8625546,11.454427
2.828989,17.430424
,18.895647
2.4775858,13.292367
1.2278156,19.699306
1.4137487,10.744067
1.8112106,19.41585
1.1379395,11.219463
1.5969658,20.448942
2.719386,14.753678
,19.70591
1.9581337,12.662852
1.9807854,20.459707
,20.138239
2.2451649,13.928153
1.3119411,20.735903
,19.404669
,19.792091
2.8161259,16.009672
1.5262642,18.696068
1.4116879,19.830297
1.7660694,19.240173
1.6908665,11.932923
,20.079659
1.8843803,20.13645
1.5557251,20.121555
2.0389996,20.393526
1.2268391,19.88447
,20.222713
1.5736217,20.204422
1.5355186,19.880749
1.7169018,19.674736
1.0188713,10.054327
3.290676,15.917027
2.9868279,15.912683
,20.539248
,20.505842
2.619236,14.733963
1.6519909,20.954815
2.8214827,15.743716
2.8174858,14.218292
2.3792982,15.011881
,19.534891
0.7869644,7.513901
,19.793478
2.6905098,14.291181
2.6281624,19.459738
2.7228088,15.377516
1.99576,20.66402
1.7121487,19.870668
2.4228592,14.950938
,19.908066
1.6894016,20.834826
1.8212461,11.385641
2.4385872,20.344936
1.2035065,20.524775
2.6907806,13.623985
1.2276239,11.375667
1.6948338,19.4408
1.7525558,19.829586
2.0327187,19.611494
1.6386528,20.203703
2.3240242,14.395258
1.2765322,10.832553
2.6714993,20.543781
3.691473,18.020868
3.2744408,16.092035
,19.97005
,20.040575
2.0146523,17.776903
2.1624594,14.108609
1.9161568,12.324991
2.3035183,20.612783
,20.286066
2.818472,20.952074
2.4574165,13.609278
,20.036085
-0.079675674,16.311108
0.7707205,11.792281
,15.932636
2.7060966,15.233658
3.160162,16.455666
1.3864441,19.706028
3.6224709,18.754581
3.293867,16.098467
2.828846,20.378082
2.3702126,19.82308
3.147769,13.562219
1.4096966,19.910543
1.9498749,19.944593
1.6535683,20.229942
1.9771938,20.332253
1.8197651,20.684946
1.8839207,20.515745
2.5444593,14.84337
,18.368914
1.5943661,20.52763
,20.750238
1.9590015,13.291884
1.715065,19.954264
0.923522,9.762375
2.8166656,20.265022
1.7509842,19.284023
2.7360735,14.382441
,19.107887
2.4955082,14.413628
1.0579491,20.9372
1.5602036,17.798655
1.9856205,20.131565
0.6371012,8.679756
2.5488281,13.59804
3.041212,19.401371
1.5009499,11.69131
,19.436522
0.94039154,19.665884
1.9027252,19.991638
,20.098766
1.9023819,17.951597
1.4032307,20.517212
,20.86151
2.4156303,14.4637165
1.5799389,11.704961
0.89294815,19.654413
2.0718803,20.919416
0.71648026,19.146526
3.0145197,16.349905
2.585352,19.569298
2.4974298,14.546173
,19.011154
1.2129564,10.709546
1.1219692,17.618437
,19.508974
1.035162,19.323437
,20.525356
3.0148582,19.190159
2.261345,20.563295
0.99385834,20.709787
0.88601875,18.949661
2.8017912,15.584063
2.4269638,19.523035
2.3726997,12.64457
2.6076221,15.773677
1.6421051,19.235369
1.9021931,19.853964
,20.182367
1.424056,11.50771
2.2267838,11.37212
2.4449244,14.640987
0.6341319,7.664462
,19.199718
3.3327408,17.675947
1.6937923,20.946943
2.5231485,14.706837
2.3752165,14.154443
,20.904636
1.5784912,19.918627
1.3491802,19.086786
1.7814007,19.68513
2.15703,18.594673
1.7972584,19.859148
1.9300947,12.3616085
1.6508446,18.633793
2.4501266,14.5114565
,20.187218
,20.265709
,20.391504
1.4961491,20.247717
1.1753979,19.555853
3.0906734,16.936342
2.5395107,13.543549
2.510088,14.180046
2.1325645,20.46246
2.164095,20.55137
,19.512852
,20.77442
2.5573082,19.833082
2.8721085,16.335958
0.7914758,7.526386
0.012252808,16.493715
2.7252102,14.323885
2.757327,14.958281
3.0072193,15.956699
1.5761881,11.504067
2.2007446,19.642387
,20.747894
2.7872448,15.466845
2.1572742,20.179607
1.7789764,19.80221
2.1353493,14.8048
2.6257172,12.716287
2.2046986,19.699371
2.5871563,20.542831
2.6575928,18.595495
1.5605927,18.910496
,19.443678
1.2621136,19.923695
1.998065,16.7878
2.8147507,15.805462
2.657362,19.392557
1.2270432,19.554573
2.7332802,16.707891
0.82487965,9.161456
,20.899492
1.3770809,18.889147
2.3083925,13.810297
1.662344,20.759157
,20.824226
,20.692198
,20.63126
3.2189884,20.830378
2.7843914,18.984398
3.1011372,20.339815
1.4141865,19.775879
2.96731,15.581821
0.9770298,19.10395
1.4868469,20.027527
,20.85979
1.458168,16.317469
0.7818537,16.664097
2.3194952,14.103174
1.3664646,19.119503
,20.597017
,20.141369
2.1379623,20.503496
2.6366425,15.379374
1.9075661,19.229822
1.6478043,20.76166
2.6347551,14.952641
1.6689129,20.982538
2.4305582,14.370808
3.357727,16.966187
3.4047346,17.195587
2.3321486,14.55636
1.371378,20.773872
3.885065,18.832596
3.3730621,19.942062
1.2982321,11.2445
0.6297436,8.447119
1.6503162,20.997452
1.8344078,12.816661
1.446476,20.566105
1.8986378,20.958431
2.329791,13.847349
1.9517384,17.100695
2.1368237,20.361528
,20.81523
1.4407454,9.705011
3.2046423,16.342169
2.644188,15.421965
2.843192,13.007313
2.5634327,14.693255
2.8048058,14.3721285
2.3532944,15.0520735
1.7764835,19.818306
2.8279533,18.996365
,20.508585
3.1709223,16.14637
2.7196217,15.330694
1.5520191,19.123959
1.2387848,17.863356
0.8727646,19.814497
0.7539749,8.77013
2.7642775,15.917339
,19.581898
,20.56955
1.7639694,18.962353
,20.47104
1.5838146,20.356945
1.7154222,6.9265294
2.3420477,14.43023
2.586835,15.343442
,18.07586
1.5218658,12.447061
0.713604,8.838498
1.5485668,20.206516
,19.673998
,19.604868
1.6810951,19.581524
1.7481785,19.781115
1.4821205,19.299557
2.074007,20.877684
0.37957954,16.87037
2.3419008,14.598871
1.1924772,8.0621195
3.9178638,18.228441
0.98082733,19.474535
1.9158297,11.5230255
,20.10317
,20.074574
0.65903664,20.030436
,20.30292
1.4202461,20.53656
0.99557114,8.54394
2.194376,20.572508
1.5189056,19.3377
1.581646,20.035276
1.2316628,9.357296
,20.450544
0.98475266,19.555904
,19.878736
1.9413662,18.54697
1.6215439,18.939146
,20.103302
1.3666573,19.297655
2.0495548,20.582691
2.3273754,18.835913
,18.919172
1.2190552,20.66976
,20.005537
,19.421583
3.174428,17.094494
,19.753843
3.4643803,17.521997
,17.856192
1.9384289,20.103542
1.5866833,18.24328
,18.71066
2.6214666,14.251704
1.7410831,18.858206
1.4925232,20.501436
2.6041374,20.343752
2.6210442,20.617348
2.6426725,15.151814
1.1062946,19.544489
2.6971369,16.48103
2.9481106,15.62942
2.9267464,16.338108
2.377039,15.042601
,19.691166
3.2683983,19.119753
2.058611,18.587746
4.9274273,17.795424
2.3456678,14.549594
0.93622017,20.196703
1.14505,18.332016
1.224906,8.687047
3.0596867,16.088501
0.873003,20.486977
0.3999176,20.646143
2.1660976,12.657089
2.1099854,13.987789
1.1627426,20.531862
1.8609486,11.0751295
3.938509,18.104906
1.4462051,19.326336
1.082901,18.489775
1.2077532,11.076634
1.8660765,12.687686
0.67331743,6.468789
1.4011078,18.432331
1.7795639,20.089764
1.4346867,19.522163
3.0831528,17.026371
0.78967667,19.357563
,20.91843
0.95336914,20.353367
2.201251,13.510804
1.8082304,13.876842
2.168459,13.204619
3.066596,16.41869
1.3763866,11.525857
1.7964611,20.446192
2.582078,15.176521
1.6299725,20.237827
3.8518896,15.721477
1.4632645,19.979668
1.9919147,20.102633
1.6275492,12.556687
0.7084732,18.448486
1.6643791,20.191942
1.2147846,20.28966
1.51087,19.413694
2.4078846,18.222166
2.1359177,20.406158
1.6983604,20.602514
2.5345945,15.846982
,19.477034
3.5853176,17.481852
4.454895,16.866386
2.5244408,13.449714
2.5758896,20.209593
1.0492783,18.441957
1.8168678,20.387993
2.0728264,20.369427
1.1694641,20.818117
2.5595055,19.649681
3.0500183,16.244246
,19.697111
1.433157,20.216303
2.5125885,15.319238
1.0141945,19.528307
1.3766384,20.421968
2.132804,12.602042
1.9385185,20.919645
1.9798908,19.33844
1.5635414,19.527206
1.883276,19.997595
1.5650635,20.16252
2.9231129,14.386458
1.6659317,20.174482
2.8446875,15.198047
0.6899438,7.5519323
1.8730125,19.716831
1.8063412,20.514326
,20.320309
1.3331375,19.51359
2.4206982,14.332293
1.898653,20.155497
1.3864622,11.453012
1.8715439,20.602983
2.0571976,20.647842
2.1760416,12.468813
3.4763136,17.194796
2.1144047,19.038834
1.1287403,18.720034
2.2953348,13.988395
2.4599676,14.553601
1.1740799,17.43962
2.2841377,18.9919
1.2456551,19.91574
3.2478437,16.743452
,18.141855
3.5490322,18.350595
0.8858175,14.081254
2.6822147,16.974886
3.6858635,15.846714
4.136282,18.343706
0.9309406,8.81167
0.8472328,9.072543
1.8690453,20.373707
2.100748,12.792618
1.1685619,19.71676
1.3255215,11.500331
1.586729,12.099559
,20.026293
2.4627876,14.220125
0.8882694,8.861236
1.5946159,19.005444
3.0566788,19.514006
1.1097012,20.342154
3.005846,16.26243
1.0644312,10.145272
1.10639,19.08195
3.050232,16.34571
1.2795734,20.432117
1.3711166,19.695456
4.0263634,19.421326
1.7930584,20.294052
1.4821053,20.729904
,20.702822
1.7636242,19.648636
1.3383865,20.79814
1.6203117,20.875412
,19.629908
2.0334244,18.57659
1.7151184,20.538149
2.1035748,20.75171
,18.959976
,20.722803
3.1458569,15.038587
1.5616913,20.793812
2.0055332,19.213192
1.2795753,19.799799
1.8086014,18.669498
,20.382387
1.2622166,20.457478
3.4080162,17.470356
2.4134169,14.280396
2.9993525,15.385159
2.7326193,14.946807
2.902339,15.888902
1.5344334,11.408101
1.4029522,20.753662
2.408062,20.986872
2.413639,19.467916
1.1196918,20.1169
,20.345587
2.3561096,20.518576
1.5831966,20.289124
1.687273,20.282507
2.280983,19.981617
1.3989792,19.925665
2.123087,20.797369
3.131421,16.811735
0.94706154,10.071723
3.7227268,17.940762
2.8238811,14.970529
1.5368567,10.182905
,20.431835
3.4583979,15.58521
1.3456917,20.251656
1.4462585,20.608051
1.7548313,19.805803
2.00947,19.558134
,19.05884
2.2775745,19.77378
1.2282047,20.670862
,19.347622
1.164154,20.879053
1.2812309,10.214083
2.562996,20.35428
2.203373,20.903057
1.9514456,14.066982
1.5488586,20.035847
2.4307861,20.843296
,20.144167
0.87516785,20.881496
0.6563144,8.004828
2.519147,14.984389
-0.091501236,16.447075
0.78853035,9.16471
,20.49514
1.6898975,19.09552
1.3027401,19.348991
,18.695862
,20.283741
,19.759254
2.952508,16.307673
3.4348278,19.34331
0.99923325,20.948086
3.0080605,16.03587
,19.238764
1.6767769,20.120337
2.1496487,20.164087
3.124547,16.867044
0.82496834,8.666711
2.1885166,15.353885
2.2299957,13.1437645
1.1669502,12.009619
2.5348997,13.834883
2.0246506,20.662197
2.8657513,15.851531
1.9282589,19.538507
2.6270523,20.901827
2.4142876,20.50734
,20.181269
0.83376884,20.846506
2.3134174,19.611828
0.8062382,8.953598
2.3676157,14.072548
2.100996,20.471397
2.4208488,20.402426
0.6553345,7.560168
1.4936943,20.055618
1.2799988,19.382671
1.6117897,19.715368
1.0205269,18.379278
1.8849888,19.308685
1.4616737,18.85454
1.1745529,20.70805
2.477768,14.48666
1.9096909,20.341028
1.588213,19.951124
1.97894,14.35124
3.2406197,16.110266
,20.807148
1.3694344,20.537552
2.2160673,14.166832
2.8703842,15.226909
3.2695122,19.979563
3.4907064,17.01803
1.9112377,20.980341
1.3976917,20.637877
1.3102055,18.613155
2.4371033,18.661234
1.8545818,20.727993
1.3057766,18.399677
2.245325,20.655466
1.8490276,20.580814
0.8901582,8.330505
,20.302214
1.5890579,19.767399
,20.06021
2.2360477,18.27825
1.1256142,18.636827
3.545268,17.175611
3.0980597,14.138366
1.1529121,16.845198
,20.324955
0.7099209,20.976221
,19.737614
2.487956,13.399167
2.3222961,19.049393
1.9672222,20.9388
2.8061447,20.725811
2.7512894,20.658009
1.4111423,20.217894
2.6566563,13.09249
0.5837307,8.274368
1.4176369,20.67966
1.9444723,12.928863
3.0986729,16.656012
2.903307,17.196743
1.2825298,11.079538
2.0072823,20.598892
1.4848957,20.657104
2.032423,20.525284
1.4945068,20.666513
1.5397663,19.436768
1.8220501,20.460194
,20.922821
,13.299943
0.9627738,8.18217
3.127945,19.857027
2.472705,12.62334
1.2839603,19.512707
2.9366865,16.276602
2.5573997,14.371545
2.906063,16.457626
,19.183659
,19.431694
1.2787113,19.783274
1.9834747,20.800358
,20.3528
1.2591877,18.27192
2.0502853,20.345436
2.6224194,20.687576
1.7199516,20.61378
1.6769495,12.0325
1.1525545,11.265575
2.276575,20.471628
,19.770058
1.3453598,19.760202
0.93909264,9.395681
,19.157982
1.4005527,19.931967
,20.313524
2.7305794,14.824139
1.7009239,20.283613
1.127861,19.448013
0.7357025,20.381477
1.1517353,20.27355
1.9393263,12.730173
2.4833107,18.616184
1.802805,19.998875
3.5324183,16.938318
3.0166569,20.031431
3.4432926,15.493935
1.5141525,19.987537
1.4975433,20.13954
,20.391273
2.7054663,15.399342
1.5137501,20.079271
0.6472454,19.674208
1.1159515,17.865917
1.675458,12.468518
2.7106113,20.33821
,19.088757
0.6409197,7.1044526
2.034155,20.092045
,19.823364
2.3530293,19.267149
1.5613976,19.704268
1.383667,19.85754
0.5585842,20.267279
1.8164768,19.550007
2.6756725,18.851181
1.2185879,20.011951
1.6849766,20.20206
,16.072777
3.1309643,15.16587
4.0074015,16.186548
0.37184143,17.753757
1.4356651,20.429852
0.9168625,18.950113
,20.071241
2.5455055,19.040695
,19.063732
2.7829494,19.160175
,20.19852
0.99997616,9.2515545
1.4129257,11.737201
3.944994,17.759937
1.2740746,19.108892
1.017168,9.272322
,19.207449
2.908452,15.210954
3.038104,16.1893
,19.916718
1.2862167,20.70821
1.4238338,19.969372
1.1731672,9.077698
,19.733774
1.1783752,20.781555
3.0560284,16.10872
3.8417282,17.878231
1.3653316,19.9492
2.608242,14.7532625
2.6437798,20.40524
2.7494001,16.102291
2.6236105,15.600945
2.834384,14.879648
2.7573442,15.966997
2.814478,15.395907
1.2018013,19.4994
1.6504345,20.767912
2.9352102,16.452732
2.3938274,19.924995
2.6586132,16.166527
1.841259,20.588804
1.2536163,20.581903
0.5507536,7.0039096
3.3007088,14.454403
1.4737911,19.624025
1.8479881,20.299585
2.0501804,19.212658
1.9891663,20.891596
1.2139664,9.113235
2.39048,12.8407135
3.324935,16.737082
2.6207666,16.125315
3.8252926,18.90951
