,phot_g_mean_mag,bp_rp,distance_gspphot
2,11.449262,1.3409176,93.437
5,8.991513,0.71949863,86.7055
8,14.365818,2.7285423,43.2886
9,15.12032,2.8382454,94.0813
13,10.424792,1.202918,66.585
15,13.970831,2.3477812,82.9135
19,13.515606,1.9881897,92.4808
21,12.878315,1.8167934,98.9769
22,16.249086,2.7950125,98.9665
24,8.934038,0.8006506,66.9581
25,10.970054,1.1439638,92.2131
28,12.158398,1.8038597,74.1217
33,13.558714,2.2155657,88.9124
35,14.294165,2.9900932,31.5194
36,9.527259,0.9483032,65.7224
38,14.707335,2.5779247,85.9548
40,10.150753,1.3002338,51.5726
41,9.649537,0.8034811,78.1888
43,12.859632,2.8842459,20.0642
45,14.385919,2.9144268,38.4288
48,14.888977,2.4540348,100.3655
50,10.507791,1.1306286,98.5124
54,9.541374,1.2554035,35.436
57,14.855493,2.825489,88.9549
58,13.532459,2.051445,99.2917
61,11.606661,1.4611702,86.0631
65,16.081146,2.7481842,98.0457
67,9.832321,1.3127861,46.1577
69,13.988005,2.563263,85.8136
71,14.708258,2.2900639,98.3887
74,10.204674,0.93235874,88.3784
77,14.41069,2.4097424,99.3501
78,16.179604,2.7343712,99.9651
79,14.118998,2.8031378,49.174
82,16.485275,3.388177,55.116
93,14.523707,3.0374107,40.5436
94,17.29553,3.1123962,99.1628
95,10.388324,1.145648,78.825
96,13.163077,1.9581299,93.3305
97,11.893488,1.4292469,98.5127
98,12.378738,1.6510992,70.7287
99,11.268092,1.3553009,84.1258
102,9.925129,2.1324425,17.1679
106,14.372071,2.9391165,45.9683
110,15.796924,2.6068869,94.0521
113,15.413033,2.6226654,96.1376
118,9.462355,0.9600096,64.7765
119,3.2804532,1.2369773,45.7471
121,16.123367,2.6394348,94.8737
125,9.665197,0.98447037,93.0286
132,14.339771,2.437152,81.826
135,13.817499,2.3304672,73.6652
138,15.45408,2.6429796,105.661
141,10.188127,0.9320936,94.932
142,14.545892,2.4288483,85.699
146,13.629796,2.194625,104.9421
148,12.501323,1.736659,79.013
151,14.515982,2.5845413,90.2788
152,6.0816813,0.023437023,82.2823
153,13.279521,2.188037,72.3845
154,14.449135,2.9467468,88.5443
