,bp_rp,phot_g_mean_mag,distance_gspphot,visibility_periods_used,astrometric_sigma5d_max,astrometric_excess_noise,astrometric_matched_transits
3,2.0679903,12.994784,67.6317,14,0.026815219,0.06765813,23
5,0.39504433,6.8555465,85.7073,15,0.048646595,0.16351452,20
6,2.5814056,14.860165,95.0371,14,0.04550066,0.07919213,25
7,1.1240873,10.259134,68.687,16,0.021996187,0.062375844,24
10,3.079997,17.010885,103.7243,16,0.13099632,0.3398461,24
11,3.1862612,15.814622,57.6418,16,0.07789323,0.08732288,24
13,2.6970272,15.7956705,100.6622,13,0.080620915,0.11821624,20
14,0.4087491,7.7814703,96.7521,13,0.041081194,0.15449378,21
15,2.457635,14.886254,93.8637,14,0.049359865,0.0,22
16,0.4868121,6.637057,70.9957,11,0.121612914,0.19288038,16
21,0.8982725,10.074757,79.3335,15,0.036346875,0.12261566,23
22,0.7674012,7.6169553,47.0311,15,0.04006123,0.14245504,27
23,2.573904,15.295008,102.2908,14,0.092298016,0.32876244,20
25,1.1385627,3.3823738,67.17,15,0.49968877,2.4007058,25
26,1.8731441,11.857552,52.697,15,0.029314784,0.076195024,26
28,2.3649015,14.047755,78.4496,15,0.0359607,0.0,25
35,0.9350519,9.490025,76.5957,15,0.03183016,0.108233266,24
36,2.798297,15.940584,98.153,13,0.09122975,0.0,22
38,2.728961,14.522798,96.2506,14,0.045089614,0.08974368,21
40,1.3385344,11.548605,95.5542,15,0.03328616,0.10592838,23
42,2.1375408,13.562063,97.9036,15,0.030160088,0.05022092,22
50,3.30309,16.643806,61.9971,15,0.14303404,0.41845256,21
53,0.7505522,9.50926,97.869,12,0.038611446,0.079848066,16
54,0.7548194,7.7592926,43.2664,14,0.05805395,0.20743003,23
59,0.9372425,10.555009,94.5985,15,0.027401729,0.098604225,24
60,2.2503319,13.780819,82.0298,14,0.031656247,0.0,21
61,3.1147747,15.056397,37.3361,13,0.060649518,0.0,20
62,2.4157572,14.152203,93.8722,13,0.036428135,0.03649363,21
66,2.0111856,12.98434,80.6394,14,0.029141575,0.08294793,21
67,1.5805187,10.986945,93.6781,13,0.41379356,2.1210601,22
68,2.5059767,15.293002,96.8342,13,0.068895005,0.05785662,18
69,0.75656176,8.234732,61.8519,12,0.041603565,0.11474737,20
71,2.162014,14.419707,97.0545,14,0.041651297,0.0,22
72,2.5862837,14.931431,84.2895,15,0.044473387,0.0,26
73,2.996747,15.687658,99.0034,15,0.11327634,0.37682498,21
77,1.0973577,10.242527,60.9434,15,0.029893607,0.09738387,19
86,3.2467718,14.985497,31.1,14,0.070248276,0.12859832,26
87,0.797513,9.804379,98.8302,15,0.035820566,0.12972417,45
90,2.7299137,15.709807,101.7407,16,0.083762676,0.17169932,23
93,1.2829714,9.15042,32.809,15,0.04716401,0.1045271,32
101,1.1856613,10.446021,68.723,14,0.050268486,0.2099629,24
105,2.948433,17.029547,105.819,15,0.16996396,0.20342264,27
